1,A Datum Corporation,2,21,22,7,38171,38171,AA20384,A Datum Corporation,Woodgrove Bank Zionsville,356981,8575824136,25986,14,NULL,(847) 555-0100,(847) 555-0101,http://www.adatum.com,Suite 10,183838 Southwest Boulevard,46077,0xE6100000010CDE115F37B6F9434031276893C39055C0,PO Box 1039,Surrey,46077,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
2,"Contoso, Ltd.",2,23,24,9,13870,13870,B2084020,Contoso Ltd,Woodgrove Bank Greenbank,358698,4587965215,25868,7,NULL,(360) 555-0100,(360) 555-0101,http://www.contoso.com,Unit 2,2934 Night Road,98253,0xE6100000010CDA4B6430900C4840C04EFBF7AAA45EC0,PO Box 1012,Jolimont,98253,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
3,Consolidated Messenger,6,25,26,NULL,30378,30378,209340283,Consolidated Messenger,Woodgrove Bank San Francisco,354269,3254872158,45698,30,NULL,(415) 555-0100,(415) 555-0101,http://www.consolidatedmessenger.com,,894 Market Day Street,94101,0xE6100000010C529ACDE330E34240DFFB1BB4D79A5EC0,PO Box 1014,West Mont,94101,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
4,"Fabrikam, Inc.",4,27,28,7,18557,18557,293092,Fabrikam Inc,Woodgrove Bank Lakeview Heights,789568,4125863879,12546,30,NULL,(203) 555-0104,(203) 555-0108,http://www.fabrikam.com,Level 2,393999 Woodberg Road,40351,0xE6100000010C86E7A5626313434023C9625147E054C0,PO Box 301,Eaglemont,40351,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
5,Graphic Design Institute,2,29,30,10,18634,18634,08803922,Graphic Design Institute,Woodgrove Bank Lanagan,563215,1025869354,32587,14,NULL,(406) 555-0105,(406) 555-0106,http://www.graphicdesigninstitute.com,,45th Street,64847,0xE6100000010C15E46723D74D424081F8AF62A79C57C0,PO Box 393,Willow,64847,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
6,Humongous Insurance,9,31,32,NULL,18656,18656,082420938,Humongous Insurance,Woodgrove Bank Lancing,325001,2569874521,32569,14,NULL,(423) 555-0105,(423) 555-0100,http://www.humongousinsurance.com,,9893 Mount Norris Road,37770,0xE6100000010CCCF2D0D2700F424085C7235DD82955C0,PO Box 94829,Boxville,37770,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
7,"Litware, Inc.",5,33,34,2,22602,22602,BC0280982,Litware Inc,Woodgrove Bank Mokelumne Hill,358769,3256896325,21445,30,NULL,(209) 555-0108,(209) 555-0104,http://www.litwareinc.com,Level 3,19 Le Church Street,95245,0xE6100000010C297398D475264340B63CC560342D5EC0,PO Box 20290,Jackson,95245,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
8,Lucerne Publishing,2,35,36,10,17161,17161,JQ082304802,Lucerne Publishing,Woodgrove Bank Jonesborough,654789,3254123658,21569,30,NULL,(423) 555-0103,(423) 555-0105,http://www.lucernepublishing.com,Suite 34,949482 Miller Boulevard,37659,0xE6100000010C9D8F21B6AA25424091F69A794D9E54C0,PO Box 8747,Westerfold,37659,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
9,Nod Publishers,2,37,38,10,10346,10346,GL08029802,Nod Publishers,Woodgrove Bank Elizabeth City,365985,2021545878,48758,7,Marcos is not in on Mondays,(252) 555-0100,(252) 555-0101,http://www.nodpublishers.com,Level 1,389 King Street,27906,0xE6100000010C0EB0A07AB52542407452A923111053C0,PO Box 3390,Anderson,27906,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
10,Northwind Electric Cars,3,39,40,8,7899,7899,ML0300202,Northwind Electric Cars,Woodgrove Bank Crandon Lakes,325447,3258786987,36214,30,NULL,(201) 555-0105,(201) 555-0104,http://www.northwindelectriccars.com,,440 New Road,07860,0xE6100000010C6C4E14D7E78F4440C74ED3C2C0B552C0,PO Box 30920,Arlington,07860,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
11,Trey Research,8,41,42,NULL,17277,17277,082304822,Trey Research,Woodgrove Bank Kadoka,658968,1254785321,56958,7,NULL,(605) 555-0103,(605) 555-0101,http://www.treyresearch.net,Level 43,9401 Polar Avenue,57543,0xE6100000010C8E5C37A5BCEA454054162AA4A16059C0,PO  Box 595,Port Fairy,57543,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
12,The Phone Company,2,43,44,7,17346,17346,237408032,The Phone Company,Woodgrove Bank Karlstad,214568,7896236589,25478,30,NULL,(218) 555-0105,(218) 555-0105,http://www.thephone-company.com,Level 83,339 Toorak Road,56732,0xE6100000010C1D1B26BFEA494840BF993D75512158C0,PO Box 3837,Ferny Wood,56732,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
13,Woodgrove Bank,7,45,46,NULL,30378,30378,028034202,Woodgrove Bank,Woodgrove Bank San Francisco,325698,2147825698,65893,7,Only speak to Donald if Hubert really is not available,(415) 555-0103,(415) 555-0107,http://www.woodgrovebank.com,Level 3,8488 Vienna Boulevard,94101,0xE6100000010C529ACDE330E34240DFFB1BB4D79A5EC0,PO Box 2390,Canterbury,94101,1,2013-01-01 00:05:00.0000000,9999-12-31 23:59:59.9999999
